Estado,Poblacion,Homicidios2019,Tasa Homicidios
Aguascalientes,944285,120,12.71
Baja California,2487367,"2,823",113.49
Baja California Sur,424041,104,24.53
Campeche,690689,83,12.02
Coahuila de Zaragoza,2298070,306,13.32
Colima,542627,830,152.96
Chiapas,3920892,619,15.79
Chihuahua,3052907,"2,936",96.17
Ciudad de México,8605239,"1,301",15.12
Durango,1448661,175,12.08
Guanajuato,4663032,"4,019",86.19
Guerrero,3079649,"1,937",62.9
Hidalgo,2235591,479,21.43
Jalisco,6322002,"2,525",39.94
México,13096686,"3,242",24.75
Michoacán de Ocampo,3985667,"2,462",61.77
Morelos,1555296,"1,059",68.09
Nayarit,920185,218,23.69
Nuevo León,3834141,987,25.74
Oaxaca,3438765,"1,164",33.85
Puebla,5076686,"1,274",25.1
Querétaro,1404306,224,15.95
Quintana Roo,874963,750,85.72
San Luis Potosí,2299360,522,22.7
Sinaloa,2536844,"1,133",44.66
Sonora,2216969,"1,384",62.43
Tabasco,1891829,691,36.53
Tamaulipas,2753222,883,32.07
Tlaxcala,962646,189,19.63
Veracruz de Ignacio de la Llave,6908975,"1,493",21.61
Yucatán,1658210,46,2.77
Zacatecas,1353610,683,50.46
